Date,Fraction Pax Dom STD,Fraction Pax Dom BUS,Fraction Pax Eur STD,Fraction Pax Eur BUS,Fraction Pax Int STD,Fraction Pax Int BUS,Fraction Revenue Dom STD,Fraction Revenue Dom BUS,Fraction Revenue Eur STD,Fraction Revenue Eur BUS,Fraction Revenue Int STD,Fraction Revenue Int BUS,AS revenue
2021-01-01,2.169849260869087e-05,5.053073621201983e-06,0.0011173237495351914,0.00013717608683439504,0.00029709100496419895,6.702753538712043e-05,1.3308675414331667e-05,5.4833425574327514e-06,0.0005196273447073038,0.00013591256878608572,0.0004024847563452543,0.00020239283833470455,92759.0
2021-01-02,2.1549872796302577e-05,3.864115122095635e-06,0.001100826950360091,0.00014966015107501169,0.0002638001669892212,6.420375895174285e-05,1.2346035261300451e-05,4.088966810274112e-06,0.0005564731228019418,0.0001371857380207399,0.00034671573669919827,0.00018564430206136225,107243.0
2021-01-03,2.3184690732573806e-05,4.458594371648809e-06,0.001004669931744865,0.0001443098378290331,0.00025622055655741824,5.751586739426964e-05,1.4689027267481526e-05,4.387475411318132e-06,0.00048755069228236555,0.00014103529692614984,0.0003419345905489194,0.00017134594041269674,97285.0
2021-01-04,2.4670888856456743e-05,5.053073621201983e-06,0.0009227804151189152,0.00012989371602736865,0.0002835666020368643,6.479823820129602e-05,1.6295764838201682e-05,5.449284529125716e-06,0.00041671299852387596,0.0001260708003120673,0.0003688724875263548,0.00018430602189023875,86801.0
2021-01-05,2.1104013359137696e-05,4.755833996425396e-06,0.0008064111020188812,0.00010685764510718312,0.00027212287648296565,6.108274289158868e-05,1.351302358417388e-05,4.712028386949884e-06,0.000342421420012367,9.867111653905705e-05,0.00033931312407599253,0.0001955581934188544,71606.0
2021-01-06,2.169849260869087e-05,4.607214184037103e-06,0.0007499355733113297,0.00010061561298687479,0.00025101886312382793,5.5137950396056936e-05,1.2577429512445311e-05,4.626883316182295e-06,0.00034371362167460453,9.62980733314286e-05,0.0003180739365996961,0.00017057963477578843,67192.0
2021-01-07,2.1104013359137696e-05,4.607214184037103e-06,0.0009119311688145697,0.00012275996503273055,0.00029798272383852874,6.628443632517895e-05,1.2801811816585782e-05,4.875306581480673e-06,0.00041181365098123736,0.0001092180865403741,0.00040971808053363976,0.00020416986604695987,81893.0
2021-01-08,2.5265368106009917e-05,5.498933058366865e-06,0.0010210181111075772,0.00015798286056875613,0.0002936727492792682,6.791925426145019e-05,1.6007273304306793e-05,5.967166900735641e-06,0.0005023659345959261,0.00015759250721694378,0.0004374413155755669,0.00019501426667265675,100771.0
2021-01-09,2.199573223346746e-05,4.755833996425396e-06,0.0012874934347197877,0.00016704866912444204,0.0002785135284156623,6.227170139069504e-05,1.4083996411674186e-05,5.096683765476405e-06,0.0006595116806180188,0.00016213224204892867,0.00037731687513306984,0.0001825760743935843,116523.0
2021-01-10,1.932057561047817e-05,4.458594371648809e-06,0.0011804871698002162,0.00016526523137578252,0.0002588957131804075,5.781310701904622e-05,1.1459524818602608e-05,5.018550641713206e-06,0.0005410458376855695,0.00016151519071254237,0.0003420147270861124,0.00016248985134615255,105526.0
2021-01-11,2.5116748293621624e-05,5.201693433590277e-06,0.000991442768442307,0.00013628436796006527,0.00031403366357646447,6.331204007741309e-05,1.5235959133823924e-05,6.135453628840994e-06,0.0004410374426821039,0.00013227336829080746,0.00043813750174243125,0.0001962944478543153,94091.0
2021-01-12,2.125263317152599e-05,4.607214184037103e-06,0.0008441605343655078,0.00012439478296900178,0.0002692991000475881,5.707000795710476e-05,1.3035209481160467e-05,4.968465305967565e-06,0.0003868992015679258,0.0001198952784146298,0.0003612034209169823,0.00016309388049524497,77382.0
2021-01-13,2.199573223346746e-05,4.755833996425396e-06,0.0007815915933500362,0.00011399139610182121,0.00024195305456814204,5.7218627769493046e-05,1.4232249005481282e-05,4.904356076213144e-06,0.0003582223417334018,0.00010064848559429496,0.00033920193463063723,0.0001623616328866437,72564.0
2021-01-14,2.288745110779722e-05,4.90445380881369e-06,0.0009303600255507181,0.0001352440292733472,0.00029753686440136385,6.9851311822498e-05,1.3883655068691622e-05,4.859279274042068e-06,0.00044521856651015,0.00011850190437418606,0.00040509420233760223,0.00020997776158002439,88512.0
2021-01-15,2.6751566229892853e-05,5.796172683143452e-06,0.001139319481768659,0.00015263254732277755,0.00032815254575335235,7.312094769504046e-05,1.8211028077114986e-05,6.05531709164797e-06,0.0005528940247095584,0.00014299663867394915,0.0004224477694667518,0.00021931366816301182,109150.0
2021-01-16,2.377916998212698e-05,5.053073621201983e-06,0.0013233108095053665,0.00018785544285880316,0.00030481923520839026,6.53927174508492e-05,1.4584849769130592e-05,5.585516642353859e-06,0.0006065053680916922,0.00019118975043511962,0.000400627592095806,0.0001829116461430801,126263.0
2021-01-17,2.496812848123333e-05,4.90445380881369e-06,0.0011831623264232057,0.00016987244555981962,0.0002898086341571726,6.182584195353015e-05,1.5987239170008533e-05,5.123729846779051e-06,0.0005980940368065693,0.00016601786239607547,0.0003750389940633581,0.00018043542714381563,114149.0
2021-01-18,2.6305706792727972e-05,5.647552870755158e-06,0.000984457637260057,0.0001449043170785863,0.0003083861107057093,6.256894101547161e-05,1.7021000499798562e-05,6.052311971503231e-06,0.00048437728540952173,0.0001396629587267193,0.00043025807672292704,0.00018597787039742824,101694.0
2021-01-19,2.3036070920185514e-05,4.90445380881369e-06,0.0009901051901308122,0.0001377705660839482,0.00026751566229892855,5.915068533054087e-05,1.4439602295468235e-05,5.255955133147543e-06,0.00045378916916294403,0.00012814433321193684,0.0003696297778028289,0.00017262812500778513,83381.0
2021-01-20,2.3184690732573806e-05,4.755833996425396e-06,0.0009004874432606712,0.00011369415647704463,0.00025161334237338114,5.3651752272174e-05,1.4845293515007925e-05,5.096683765476405e-06,0.0004430618919529427,0.00010268495534571272,0.0003306984463277423,0.00014898584312241287,78136.0
2021-01-21,2.496812848123333e-05,4.90445380881369e-06,0.0010137357403005509,0.00013658160758484185,0.0002814859246634281,7.416128638175853e-05,1.5987239170008533e-05,4.925391917226313e-06,0.0004851175466718423,0.00012795901746967797,0.000371857573536795,0.00021943487467551627,95397.0
2021-01-22,2.7494665291834323e-05,5.350313245978571e-06,0.0012770900478526071,0.0001655624710005591,0.00036055166485400033,7.653920337997122e-05,1.760499551459273e-05,5.805892119634678e-06,0.0006283596034909451,0.00016626929078151858,0.0005030390815083475,0.00022182795201744298,117908.0
2021-01-23,2.615708698033968e-05,5.201693433590277e-06,0.0014059434251932578,0.0001936516155419466,0.00032265361269498546,6.76220146366736e-05,1.6395935509692964e-05,6.065334158797098e-06,0.0007865200784152444,0.00020100447282783539,0.0004088445922782358,0.00020509944987839897,136484.0
2021-01-24,2.496812848123333e-05,4.755833996425396e-06,0.0012928437479657663,0.0001700210653722079,0.0002899572539695609,6.346065988980138e-05,1.5482378985692477e-05,5.192847610108035e-06,0.0006361108100509404,0.00016960096731531861,0.00041236358796772454,0.00019803841924497854,123164.0
2021-01-25,2.8832243603328964e-05,5.498933058366865e-06,0.0011032048673583037,0.0001567939020696498,0.0003288956448152938,6.390651932696626e-05,1.943311026930862e-05,5.6335985646696744e-06,0.0005056254882462523,0.00014795208179262285,0.0004344882841800039,0.00019512245099786733,109615.0
2021-01-26,2.3184690732573806e-05,5.053073621201983e-06,0.0009330351821737075,0.00012915061696542717,0.0002898086341571726,6.479823820129602e-05,1.4532761019955126e-05,5.687690727274966e-06,0.0004527874624480312,0.00012099715580103389,0.000390665618815998,0.00017775485997470892,89602.0
2021-01-27,2.4819508668845035e-05,5.053073621201983e-06,0.0009499778407859729,0.00012067928765929443,0.00024893818575039183,5.588104945799841e-05,1.4721081882358736e-05,5.347110444204609e-06,0.0004161891059119766,0.00011468740520379807,0.0003154374445260456,0.00016459243374075452,83906.0
2021-01-28,2.3481930357350395e-05,4.90445380881369e-06,0.0010256253252916145,0.000147282234076799,0.0003358807759975436,7.490438544369999e-05,1.4877348129885135e-05,5.255955133147543e-06,0.0004769816847333204,0.00014989639452626862,0.0004663545781948104,0.00021608015888727324,102549.0
2021-01-29,2.7494665291834323e-05,5.647552870755158e-06,0.001250635721247491,0.00017165588330847914,0.00036367268091415454,7.564748450564146e-05,1.760499551459273e-05,6.090376826669918e-06,0.0006322021504493507,0.00017585963087009387,0.0005147470295922484,0.00024167777228015534,127046.0
2021-01-30,2.615708698033968e-05,5.201693433590277e-06,0.0015206779203570204,0.00019766435047643052,0.000329490124064847,7.01485514472746e-05,1.621963512786831e-05,5.434258928402024e-06,0.0008917032903079498,0.00021582772879511522,0.00045970224390107434,0.00021654495080299278,147194.0
2021-01-31,2.5413987918398213e-05,5.498933058366865e-06,0.0014697013247078358,0.00019528643347821784,0.00030689991258182637,6.910821276055654e-05,1.6101433735508596e-05,5.855977455380319e-06,0.0007528467054867353,0.00019480390826252504,0.0004240474950904676,0.00020914133647307218,132574.0
